"['entry level smartphone offer', 'limited time only', 'free samsung', 'free samsung j3v', 'good network', 'in', 'best network', 'trade', 'first time', 'primary']"
"['good network w/ good unlimited', 'amazing deal', 'free asus zenfone v', 'great phone', 'best unlimited', 'bundle imagery', 'urgency cta', 'best network', 'hot phone', 'free lg']"
"['exclusive motorola moto z3', 'verizon exclusive motorola moto', 'motorola z3', 'customization that z3', 'super amoled display', 'only network that', 'large super amoled', 'term network narrative', 'high end camera', 'fast charge battery']"
"['nr eligible purchase type', 'good network promo offer', 'select trade', 'amazon lp', 'respective pdp', 'none eligible channels', 'google pixel', 'limited time', 'brand voice', 'xl']"
"['-PRON- good phone', 'select trade', 'moto z2 force', 'good network', 'google pixel 2xl', 'samsung gs9', 'brand voice', 'in', 'america', 'hero']"
"['nr eligible purchase type', 'good network promo offer', 'moto z2 force', 'none eligible channels', 'limited time', 'respective pdp', 'distinct offer', 'pixel 2xl', 'no trade', 'brand voice']"
"['android qualifying devices buy', '-PRON- good phone', 'lg g7 requirements', 'gs9/9 +', 'z2 force', 'new lines', 'trade', 'note', 'v30', 'copy']"
"['apple qualifying devices buy', 'potential lead headline', 'gb model', 'iphone x', 'potential sub', 'iphone', 'new lines', 'plus', 'get', 'eligible']"
"['amazing iphone se', 'limited time offer', 'good network', 'low', 'america', 'trade', 'best network', 'primary', 'new', 'eligibility']"
"['-PRON- good android phone', 'good streaming network', '-PRON- good android smartphone', 'limited time', 'good streaming', 'moto z2 force', 'brand team', 'limited time offer', 'lg v30', 'gs8 +']"
"['new moto z3', 'limited time only', 'in', 'good network', 'trade', 'best network', 'primary', 'secondary', 'eligibility', 'port']"
"['-PRON- good phone', '6mo apple music switch', 'select trade', 'good network', 'lg v40 backup', 'in', 'iphone xs max', 'android version', 'america', 'up imagery']"
